date_key,quarter_start_day,quarter_end_day,quarter,year
1_2013,01/01/2013,31/03/2013,1,2013
1_2015,01/01/2015,31/03/2015,1,2015
4_2011,01/10/2011,31/12/2011,4,2011
4_2013,01/10/2013,31/12/2013,4,2013
1_2014,01/01/2014,31/03/2014,1,2014
1_2012,01/01/2012,31/03/2012,1,2012
3_2013,01/07/2013,30/09/2013,3,2013
4_2012,01/10/2012,31/12/2012,4,2012
2_2013,01/04/2013,30/06/2013,2,2013
4_2014,01/10/2014,31/12/2014,4,2014
3_2014,01/07/2014,30/09/2014,3,2014
3_2011,01/07/2011,30/09/2011,3,2011
2_2014,01/04/2014,30/06/2014,2,2014
2_2011,01/04/2011,30/06/2011,2,2011
2_2012,01/04/2012,30/06/2012,2,2012
3_2012,01/07/2012,30/09/2012,3,2012
4_2015,01/10/2015,31/12/2015,4,2015
1_2011,01/01/2011,31/03/2011,1,2011
1_2017,01/01/2017,31/03/2017,1,2017
2_2017,01/04/2017,30/06/2017,2,2017
4_2017,01/10/2017,31/12/2017,4,2017
3_2017,01/07/2017,30/09/2017,3,2017
